Timestamp,Machine_ID,Operator_ID,RPM,Engine_Hours,Fuel_Used,Load_Cycles,Idling_Time,Seatbelt_Status,Safety_Alert_Triggered,Task_Type,Soil_Type,Terrain,Temperature_C,Precipitation_mm
2025-05-01 08:00:00,EXC005,OP1003,806,1613.29,10.66,4,39,Fastened,No,Compacting,Gravel,Steep,92.54,0.0
2025-05-01 10:09:20,EXC001,OP1002,2217,1771.56,17.97,15,14,Unfastened,Yes,Digging,Rock,Incline,95.68,0.0
2025-05-01 12:31:47,EXC003,OP1002,846,2394.0,8.34,1,18,Unfastened,Yes,Compacting,Gravel,Incline,86.95,0.0
2025-05-01 13:35:28,EXC004,OP1001,1979,1546.36,11.38,17,19,Fastened,No,Trenching,Loam,Flat,96.62,0.0
2025-05-01 16:23:35,EXC003,OP1002,2289,2394.46,24.38,20,14,Fastened,No,Digging,Rock,Steep,100.01,0.0
2025-05-01 19:50:37,EXC005,OP1003,2091,1614.66,22.1,24,28,Fastened,No,Digging,Rock,Steep,109.55,0.0
2025-05-01 23:50:39,EXC003,OP1001,2073,2397.38,12.63,16,22,Fastened,No,Trenching,Loam,Incline,108.37,0.0
2025-05-02 02:25:33,EXC005,OP1004,1764,1618.39,11.27,12,28,Fastened,No,Hauling,Sand,Incline,120.05,0.0
2025-05-02 04:50:08,EXC003,OP1004,822,2399.63,6.6,2,20,Fastened,No,Compacting,Gravel,Flat,110.35,0.0
2025-05-02 05:59:50,EXC002,OP1004,2229,2831.74,15.0,20,14,Fastened,No,Digging,Rock,Flat,96.16,0.0
2025-05-02 08:49:25,EXC001,OP1001,849,1773.56,5.58,4,44,Fastened,No,Grading,Clay,Flat,100.75,28.89
2025-05-02 10:13:52,EXC003,OP1004,2138,2400.17,20.8,22,14,Unfastened,Yes,Digging,Rock,Steep,122.06,0.0
2025-05-02 14:18:35,EXC002,OP1005,788,2833.98,5.89,4,63,Fastened,No,Grading,Clay,Flat,101.98,42.48
2025-05-02 16:33:00,EXC002,OP1005,843,2835.43,7.66,4,63,Fastened,No,Grading,Clay,Steep,110.8,28.23
2025-05-02 18:48:19,EXC002,OP1005,891,2837.31,5.89,4,65,Fastened,No,Grading,Clay,Flat,116.41,23.33
2025-05-02 20:59:14,EXC004,OP1005,2263,1548.37,15.84,19,16,Fastened,No,Digging,Rock,Incline,107.88,0.0
2025-05-03 00:07:17,EXC004,OP1003,2190,1550.86,18.2,18,26,Fastened,No,Digging,Rock,Steep,121.14,0.0
2025-05-03 03:17:07,EXC002,OP1001,1981,2838.79,11.64,11,19,Fastened,No,Trenching,Loam,Steep,125.6,0.0
2025-05-03 05:28:15,EXC002,OP1002,2105,2840.63,16.25,16,15,Fastened,No,Digging,Rock,Flat,134.41,0.0
2025-05-03 08:01:16,EXC002,OP1005,2223,2842.48,18.57,24,17,Fastened,No,Digging,Rock,Incline,148.15,0.0
2025-05-03 11:56:29,EXC004,OP1002,1958,1553.77,13.0,12,23,Unfastened,Yes,Trenching,Loam,Flat,128.52,0.0
2025-05-03 14:27:11,EXC004,OP1004,2240,1555.34,16.9,16,15,Fastened,No,Digging,Rock,Steep,140.2,0.0
2025-05-03 17:32:13,EXC002,OP1005,2157,2845.57,19.76,22,17,Fastened,No,Digging,Rock,Steep,160.44,0.0
2025-05-03 21:45:28,EXC005,OP1001,2323,1620.31,7.66,3,15,Fastened,No,Compacting,Gravel,Incline,122.68,0.0
2025-05-03 23:01:53,EXC003,OP1001,856,2403.34,7.25,4,48,Fastened,No,Grading,Clay,Steep,126.98,37.1
2025-05-04 01:05:54,EXC003,OP1001,1991,2404.89,11.64,11,21,Fastened,No,Trenching,Loam,Steep,134.39,0.0
2025-05-04 03:56:50,EXC003,OP1001,1798,2406.78,8.19,5,22,Fastened,No,Hauling,Sand,Steep,139.26,0.0
2025-05-04 05:26:49,EXC001,OP1003,853,1774.69,7.4,3,38,Fastened,No,Compacting,Gravel,Flat,104.44,0.0
2025-05-04 06:59:57,EXC003,OP1004,771,2407.92,7.4,3,21,Fastened,No,Compacting,Gravel,Flat,142.18,0.0
2025-05-04 07:55:58,EXC002,OP1001,815,2848.8,5.58,4,50,Fastened,No,Grading,Clay,Flat,165.4,20.5
2025-05-04 09:37:11,EXC003,OP1004,754,2408.56,7.67,3,63,Fastened,No,Grading,Clay,Steep,151.65,46.96
2025-05-04 12:12:36,EXC003,OP1003,896,2410.31,6.2,4,98,Fastened,No,Grading,Clay,Flat,161.03,27.8
2025-05-04 15:10:56,EXC002,OP1001,1788,2850.03,7.38,8,22,Fastened,No,Hauling,Sand,Flat,171.39,0.0
2025-05-04 17:09:15,EXC005,OP1003,2145,1620.94,21.45,23,29,Fastened,No,Digging,Rock,Steep,138.96,0.0
2025-05-04 21:11:17,EXC004,OP1005,1837,1557.76,11.61,11,30,Fastened,No,Hauling,Sand,Steep,151.17,0.0
2025-05-04 23:56:23,EXC005,OP1003,794,1624.55,8.51,6,50,Fastened,No,Hauling,Sand,Incline,146.69,0.0
2025-05-05 02:08:40,EXC002,OP1004,783,2851.2,5.6,2,63,Unfastened,Yes,Grading,Clay,Flat,175.74,13.65
2025-05-05 03:56:09,EXC003,OP1005,1927,2412.35,13.96,14,26,Fastened,No,Trenching,Loam,Steep,169.25,0.0
2025-05-05 06:38:46,EXC004,OP1001,1987,1559.83,10.58,15,21,Fastened,No,Trenching,Loam,Flat,160.14,0.0
2025-05-05 09:29:20,EXC002,OP1004,2055,2852.46,11.75,15,26,Unfastened,Yes,Trenching,Loam,Flat,182.96,0.0
2025-05-05 12:23:19,EXC001,OP1003,831,1775.62,5.3,1,111,Fastened,No,Grading,Clay,Flat,113.3,11.73
2025-05-05 15:02:31,EXC002,OP1001,2010,2854.39,10.58,15,22,Fastened,No,Trenching,Loam,Flat,189.51,0.0
2025-05-05 17:20:53,EXC002,OP1002,803,2856.25,10.64,3,21,Fastened,No,Compacting,Gravel,Incline,192.57,0.0
2025-05-05 18:22:11,EXC005,OP1005,2039,1626.2,11.73,10,28,Fastened,No,Trenching,Loam,Steep,153.26,0.0
2025-05-05 20:40:24,EXC002,OP1001,773,2857.01,6.11,3,45,Fastened,No,Grading,Clay,Incline,199.21,30.49
2025-05-05 22:24:36,EXC005,OP1002,1796,1628.11,13.97,9,28,Fastened,No,Hauling,Sand,Steep,160.69,0.0
2025-05-06 01:08:25,EXC004,OP1005,2066,1561.68,11.16,15,28,Fastened,No,Trenching,Loam,Flat,169.38,0.0
2025-05-06 03:37:43,EXC004,OP1004,1842,1563.65,10.6,14,29,Fastened,No,Hauling,Sand,Flat,176.24,0.0
2025-05-06 06:26:53,EXC004,OP1004,2054,1565.53,12.65,17,25,Fastened,No,Trenching,Loam,Flat,186.2,0.0
2025-05-06 08:52:06,EXC004,OP1003,830,1567.65,7.28,2,102,Fastened,No,Grading,Clay,Steep,199.11,29.41
2025-05-06 12:18:10,EXC003,OP1004,2065,2414.72,10.41,9,23,Fastened,No,Trenching,Loam,Incline,177.13,0.0
2025-05-06 14:43:54,EXC001,OP1004,2202,1777.57,18.4,22,16,Fastened,No,Digging,Rock,Incline,126.55,0.0
2025-05-06 18:09:49,EXC002,OP1004,2180,2858.22,15.5,21,16,Fastened,No,Digging,Rock,Flat,208.52,0.0
2025-05-06 21:27:52,EXC005,OP1003,1803,1629.88,10.2,13,52,Fastened,No,Hauling,Sand,Flat,168.51,0.0
2025-05-07 00:29:13,EXC003,OP1001,2125,2416.19,17.55,20,12,Fastened,No,Digging,Rock,Steep,190.7,0.0
2025-05-07 03:38:45,EXC005,OP1002,2098,1632.04,13.56,13,25,Unfastened,Yes,Trenching,Loam,Flat,177.02,0.0
