Timestamp,Machine_ID,Operator_ID,Engine_Hours,Fuel_Used,Load_Cycles,Idling_Time,Seatbelt_Status,Safety_Alert_Triggered,Task_Type,Soil_Type,Terrain,Temperature_C,Precipitation_mm,Operator_Experience_Years
2025-05-01 08:00:00,EXC001,OP1001,1518.79,14.55,17,23,Fastened,No,Trenching,Loam,Incline,95.96,0.0,14
2025-05-01 11:02:21,EXC005,OP1004,2644.72,7.4,3,18,Fastened,No,Compacting,Gravel,Flat,88.11,0.0,3
2025-05-01 12:13:35,EXC001,OP1003,1521.2,22.1,24,14,Fastened,No,Digging,Rock,Steep,113.31,0.0,11
2025-05-01 16:05:51,EXC004,OP1005,1537.57,6.79,3,59,Fastened,No,Grading,Clay,Incline,91.19,12.67,10
2025-05-01 18:19:38,EXC001,OP1001,1524.61,8.2,8,33,Fastened,No,Hauling,Sand,Flat,120.03,0.0,9
2025-05-01 20:16:14,EXC005,OP1002,2645.33,9.43,4,21,Fastened,No,Compacting,Gravel,Incline,90.72,0.0,7
2025-05-01 21:50:36,EXC003,OP1001,1169.92,9.95,11,23,Fastened,No,Trenching,Loam,Flat,93.74,0.0,12
2025-05-01 23:36:37,EXC004,OP1005,1539.05,22.1,24,15,Fastened,No,Digging,Rock,Steep,108.78,0.0,11
2025-05-02 03:29:03,EXC004,OP1005,1542.5,7.13,4,56,Fastened,No,Grading,Clay,Incline,114.46,22.26,12
2025-05-02 05:46:12,EXC003,OP1001,1171.4,9.43,8,30,Fastened,No,Hauling,Sand,Incline,101.72,0.0,11
2025-05-02 07:47:37,EXC003,OP1005,1172.9,9.05,9,24,Unfastened,Yes,Trenching,Loam,Flat,107.1,0.0,1
2025-05-02 10:01:56,EXC002,OP1003,2089.78,14.37,15,16,Fastened,No,Digging,Rock,Incline,96.52,0.0,12
2025-05-02 12:41:51,EXC004,OP1002,1544.04,7.67,3,57,Fastened,No,Grading,Clay,Steep,121.61,40.41,11
2025-05-02 14:53:58,EXC003,OP1002,1174.19,8.51,6,33,Fastened,No,Hauling,Sand,Incline,111.73,0.0,6
2025-05-02 16:29:43,EXC004,OP1005,1545.67,10.41,9,23,Fastened,No,Trenching,Loam,Incline,127.97,0.0,18
2025-05-02 18:49:44,EXC004,OP1002,1547.14,8.2,8,28,Fastened,No,Hauling,Sand,Flat,132.51,0.0,15
2025-05-02 20:50:09,EXC005,OP1001,2646.18,9.05,9,24,Fastened,No,Trenching,Loam,Flat,96.13,0.0,14
2025-05-02 22:44:26,EXC004,OP1001,1548.4,8.2,4,20,Fastened,No,Compacting,Gravel,Flat,135.29,0.0,5
2025-05-02 23:57:02,EXC004,OP1004,1549.14,6.79,3,61,Fastened,No,Grading,Clay,Incline,142.37,10.32,3
2025-05-03 01:57:38,EXC005,OP1001,2647.49,6.44,2,60,Fastened,No,Grading,Clay,Incline,100.76,44.08,13
2025-05-03 03:48:10,EXC004,OP1004,1550.66,5.3,1,62,Fastened,No,Grading,Clay,Flat,146.19,29.9,3
2025-05-03 05:22:15,EXC002,OP1001,2091.81,11.27,12,32,Fastened,No,Hauling,Sand,Incline,105.42,0.0,5
